id,name,quality,level,required_level,item_class_name,item_class_id,item_subclass_name,item_subclass_id,inventory_type,purchase_price,sell_price,is_equippable
10317,Pattern: Pink Mageweave Shirt,COMMON,1,0,Recipe,9,Tailoring,2,NON_EQUIP,4000,1000,False
208313,Verdant Combatant's Cloth Goggles,UNCOMMON,330,70,Armor,4,Cloth,1,HEAD,141260,28252,True
37824,Gwyneth's Runed Dragonwand,RARE,34,29,Weapon,2,Wand,19,RANGEDRIGHT,4955246,991049,True
14325,Resplendent Epaulets,UNCOMMON,29,23,Armor,4,Cloth,1,SHOULDER,1591659,318331,True
31256,Silvermoon Armor,UNCOMMON,11,6,Armor,4,Mail,3,CHEST,4421,884,True
206440,Icy Scale Waistwrap,EPIC,29,25,Armor,4,Mail,3,WAIST,735,147,True
193037,Sundered Onyx Loupe,UNCOMMON,317,58,Profession,19,Jewelcrafting,11,PROFESSION_GEAR,15000,3000,True
18229,Nat Pagle's Guide to Extreme Anglin',COMMON,1,0,Miscellaneous,15,Junk,0,NON_EQUIP,3163,790,False
36144,Ghrino Britches,UNCOMMON,34,29,Armor,4,Leather,2,LEGS,2435981,487196,True
12420,Radiant Leggings,UNCOMMON,29,23,Armor,4,Mail,3,LEGS,47457,9491,True
7387,Dusky Belt,UNCOMMON,22,14,Armor,4,Leather,2,WAIST,9039,1807,True
144334,Heavy Skullblasters,EPIC,50,45,Armor,4,Plate,4,HEAD,379454,75890,True
75096,Vicious Embersilk Belt,RARE,37,32,Armor,4,Cloth,1,WAIST,45362,9072,True
1928,Defias Mage Staff,RARE,12,7,Weapon,2,Staff,10,TWOHWEAPON,12020,2404,True
12728,Plans: Invulnerable Mail,EPIC,1,0,Recipe,9,Blacksmithing,4,NON_EQUIP,80000,20000,False
6537,Willow Boots,UNCOMMON,8,5,Armor,4,Cloth,1,FEET,1837,367,True
15093,Runic Leather Belt,UNCOMMON,28,22,Armor,4,Leather,2,WAIST,21290,4258,True
15160,Nocturnal Wristbands,UNCOMMON,22,14,Armor,4,Leather,2,WRIST,137535,27507,True
25906,Design: Brutal Earthstorm Diamond,RARE,1,0,Recipe,9,Jewelcrafting,10,NON_EQUIP,120000,30000,False
141284,Nor'danil Ampoule,UNCOMMON,50,40,Gem,3,Artifact Relic,11,NON_EQUIP,1262383,315595,False
193393,Trailblazer's Scale Bracers,RARE,270,61,Armor,4,Mail,3,WRIST,56312,11262,True
207574,Ancient Schematic: Skullstone Bludgeon,UNCOMMON,1,1,Recipe,9,Engineering,3,NON_EQUIP,120000,30000,False
16827,Nightslayer Belt,EPIC,29,25,Armor,4,Leather,2,WAIST,123147,24629,True
30733,Hope Ender,EPIC,32,27,Weapon,2,Sword,7,WEAPON,1730731,346146,True
106520,Highland Spaulders,UNCOMMON,40,36,Armor,4,Mail,3,SHOULDER,1800385,360077,True
21003,Unkempt Bracers,POOR,2,1,Armor,4,Cloth,1,WRIST,30,6,True
93464,Crafted Dreadful Gladiator's Leather Footguards of Meditation,RARE,39,35,Armor,4,Leather,2,FEET,179041,35808,True
98768,Crafted Malevolent Gladiator's Treads of Meditation,RARE,39,35,Armor,4,Cloth,1,FEET,195750,39150,True
208430,Whispering Fanged Cord,EPIC,441,70,Armor,4,Cloth,1,WAIST,0,0,True
201037,Citadel Crusher's Legguards,RARE,1,1,Armor,4,Plate,4,LEGS,800000,200000,True
25354,Moldy Leather Helmet,POOR,29,25,Armor,4,Leather,2,HEAD,658572,131714,True
9837,Banded Bracers,UNCOMMON,18,11,Armor,4,Mail,3,WRIST,20022,4004,True
116724,Oshu'gun Basin,UNCOMMON,44,40,Armor,4,Miscellaneous,0,HOLDABLE,2052047,410409,True
5772,Pattern: Red Woolen Bag,COMMON,1,0,Recipe,9,Tailoring,2,NON_EQUIP,500,125,False
170201,Deeptide Scroll,UNCOMMON,58,50,Armor,4,Miscellaneous,0,HOLDABLE,2279089,455817,True
172260,Shadowscale Gauntlets,RARE,165,60,Armor,4,Mail,3,HAND,1603045,320609,True
9805,Superior Cloak,UNCOMMON,15,9,Armor,4,Cloth,1,CLOAK,10536,2107,True
6344,Formula: Enchant Bracer - Minor Versatility,UNCOMMON,1,0,Recipe,9,Enchanting,8,NON_EQUIP,400,100,False
4069,Blackforge Buckler,UNCOMMON,25,18,Armor,4,Shield,6,SHIELD,1347929,269585,True
118784,Sliver of Na'the,RARE,41,36,Weapon,2,Dagger,15,WEAPON,4276603,855320,True
176980,Warflesh Breeches,UNCOMMON,100,50,Armor,4,Leather,2,LEGS,2545252,509050,True
6603,Dervish Tunic,UNCOMMON,18,11,Armor,4,Leather,2,CHEST,43335,8667,True
7492,Captain's Cloak,UNCOMMON,22,14,Armor,4,Cloth,1,CLOAK,211686,42337,True
14123,Ritual Cape,UNCOMMON,10,6,Armor,4,Cloth,1,CLOAK,2514,502,True
118333,Universal Language Compensator,COMMON,1,1,Miscellaneous,15,Other,4,NON_EQUIP,128756,32189,False
173096,Darkmoon Deck: Indomitable,EPIC,200,60,Armor,4,Miscellaneous,0,TRINKET,2989227,597845,True
42553,Visage Liquification Goggles,EPIC,35,28,Armor,4,Cloth,1,HEAD,138331,27666,True
10152,Mighty Leggings,UNCOMMON,29,24,Armor,4,Leather,2,LEGS,2132360,426472,True
7529,Cabalist Helm,UNCOMMON,25,18,Armor,4,Leather,2,HEAD,1091615,218323,True
8084,Light Plate Gloves,POOR,28,22,Armor,4,Plate,4,HAND,420850,84170,True
108633,Crashin' Thrashin' Cannon Controller,RARE,23,0,Miscellaneous,15,Holiday,3,NON_EQUIP,800000,200000,False
204161,Pattern: Obsidian Combatant's Adamant Gauntlets,UNCOMMON,1,1,Recipe,9,Leatherworking,1,NON_EQUIP,2000000,500000,False
171388,Ceremonious Axe,UNCOMMON,100,50,Weapon,2,Axe,0,WEAPON,3515369,703073,True
37800,Aviary Guardsman's Hauberk,RARE,35,30,Armor,4,Mail,3,CHEST,2949503,589900,True
24608,Laughing Skull Gloves,UNCOMMON,30,25,Armor,4,Cloth,1,HAND,1141805,228361,True
119341,Doomslag Greatboots,EPIC,44,40,Armor,4,Plate,4,FEET,1493227,298645,True
13048,Looming Gavel,RARE,19,12,Weapon,2,Mace,4,WEAPON,83940,16788,True
8253,Imperial Red Sash,UNCOMMON,26,20,Armor,4,Cloth,1,WAIST,1007877,201575,True
24656,Consortium Gloves,UNCOMMON,31,26,Armor,4,Cloth,1,HAND,1238432,247686,True
15488,Bloodspattered Surcoat,UNCOMMON,13,8,Armor,4,Mail,3,CHEST,7332,1466,True
62108,Singed Armor,POOR,35,31,Armor,4,Leather,2,CHEST,943568,188713,True
8272,Ebonhold Shoulderpads,UNCOMMON,27,21,Armor,4,Mail,3,SHOULDER,1551318,310263,True
166744,Glaive Tosser,RARE,50,1,Miscellaneous,15,Other,4,NON_EQUIP,1,1,False
116720,Ancestral Cloak,UNCOMMON,43,39,Armor,4,Cloth,1,CLOAK,1897945,379589,True
1965,White Wolf Gloves,COMMON,5,3,Armor,4,Leather,2,HAND,254,50,True
211576,Pattern: Draconic Combatant's Wildercloth Sash,UNCOMMON,1,1,Recipe,9,Tailoring,2,NON_EQUIP,2000000,500000,False
25188,Spleenripper Claws,UNCOMMON,30,25,Weapon,2,Fist Weapon,13,WEAPON,3197503,639500,True
7368,Elder's Pants,UNCOMMON,20,13,Armor,4,Cloth,1,LEGS,176573,35314,True
211548,Draconic Combatant's Adamant Cowl,UNCOMMON,330,70,Armor,4,Mail,3,HEAD,134793,26958,True
9944,Abjurer's Crystal,UNCOMMON,27,21,Armor,4,Miscellaneous,0,HOLDABLE,1739502,347900,True
2440,Embroidered Gloves,COMMON,26,20,Armor,4,Cloth,1,HAND,585363,117072,True
42113,Spellweave Gloves,EPIC,35,30,Armor,4,Cloth,1,HAND,45076,9015,True
141205,Souvenir Murloc,UNCOMMON,45,1,Miscellaneous,15,Other,4,NON_EQUIP,0,0,False
7086,Pattern: Earthen Silk Belt,UNCOMMON,1,0,Recipe,9,Tailoring,2,NON_EQUIP,1500,375,False
1988,Chief Brigadier Gauntlets,UNCOMMON,21,14,Armor,4,Mail,3,HAND,135198,27039,True
210117,Harvest Guardian Greathelm,UNCOMMON,415,70,Armor,4,Plate,4,HEAD,2043077,408615,True
14316,Celestial Pauldrons,UNCOMMON,29,23,Armor,4,Cloth,1,SHOULDER,1497856,299571,True
9861,Archer's Gloves,UNCOMMON,20,13,Armor,4,Leather,2,HAND,93624,18724,True
25168,Sha'tari Longsword,UNCOMMON,32,27,Weapon,2,Sword,8,TWOHWEAPON,4446214,889242,True
180387,Crumbling Sinstone,UNCOMMON,50,1,Miscellaneous,15,Other,4,NON_EQUIP,23515,5878,False
15116,Rigid Shoulders,UNCOMMON,16,10,Armor,4,Leather,2,SHOULDER,15842,3168,True
17704,Edge of Winter,UNCOMMON,21,14,Weapon,2,Axe,0,WEAPON,21272,4254,True
15487,War Torn Tunic,UNCOMMON,9,5,Armor,4,Mail,3,CHEST,2795,559,True
121241,Ambervale Hood,UNCOMMON,44,40,Armor,4,Leather,2,HEAD,968761,193752,True
2040,Troll Protector,RARE,25,19,Armor,4,Shield,6,SHIELD,1763121,352624,True
3420,Black Rose,COMMON,22,0,Armor,4,Miscellaneous,0,HOLDABLE,160645,32129,True
75064,Vicious Embersilk Shoulders,RARE,37,32,Armor,4,Cloth,1,SHOULDER,68047,13609,True
1121,Feet of the Lynx,RARE,15,9,Armor,4,Leather,2,FEET,12766,2553,True
194047,Explorer's Banner of Geology,RARE,415,0,Miscellaneous,15,Other,4,NON_EQUIP,200000,40000,False
3948,Twill Gloves,POOR,28,22,Armor,4,Cloth,1,HAND,431418,86283,True
58232,Rugged Trapper's Vest,COMMON,1,0,Armor,4,Mail,3,CHEST,38,7,True
1417,Beaten Battle Axe,POOR,4,2,Weapon,2,Axe,1,TWOHWEAPON,327,65,True
94052,Battered Saurscale Chestpiece,UNCOMMON,38,35,Armor,4,Mail,3,CHEST,669686,133937,True
194017,Wildercloth Bag,UNCOMMON,60,0,Container,1,Bag,0,BAG,75000,15000,True
15234,Greater Scythe,UNCOMMON,22,15,Weapon,2,Axe,0,WEAPON,451810,90362,True
14722,War Paint Anklewraps,UNCOMMON,10,6,Armor,4,Mail,3,FEET,2459,491,True
138792,Tome of Illusions: Elemental Lords,RARE,1,30,Consumable,0,Other,8,NON_EQUIP,0,0,False
166821,Fallen Runelord's Belt,UNCOMMON,60,50,Armor,4,Leather,2,WAIST,1102351,220470,True
24820,Felstone Spaulders,UNCOMMON,30,24,Armor,4,Mail,3,SHOULDER,1726714,345342,True
