id,name,avgbuyout,sellprice,profession,quality
191329,Iced Phial of Corrupting Rage,,4000.0,alchemy,common
191383,Elemental Potion of Ultimate Power,,4000.0,alchemy,common
58488,Potion of Treasure Finding,3445000.0,5000.0,alchemy,common
191341,Phial of Tepid Versatility,,4000.0,alchemy,common
9210,Ghost Dye,3400496.0,750.0,alchemy,common
142117,Potion of Prolonged Power,234000.0,5000.0,alchemy,common
207023,Dreamwalker's Healing Potion,,1000.0,alchemy,common
191327,Iced Phial of Corrupting Rage,,4000.0,alchemy,common
8827,Elixir of Water Walking,387491.0,125.0,alchemy,common
191507,Exultant Incense,,1000.0,alchemy,common
127844,Potion of the Old War,1162500.0,2500.0,alchemy,common
6662,Elixir of Giant Growth,150639.0,95.0,alchemy,common
76098,Master Mana Potion,89500.0,6000.0,alchemy,common
58091,Volcanic Potion,87500.0,5000.0,alchemy,common
127845,Unbending Potion,1127052.0,2500.0,alchemy,common
56850,Deepstone Oil,990000.0,300.0,alchemy,common
168529,Potion of Empowered Proximity,1881499.0,2500.0,alchemy,common
58145,Potion of the Tol'vir,304541.0,2500.0,alchemy,common
191378,Refreshing Healing Potion,,1000.0,alchemy,common
58086,Flask of the Draconic Mind,25000.0,2500.0,alchemy,common
191350,Charged Phial of Alacrity,,4000.0,alchemy,common
169299,Potion of Unbridled Fury,1627498.0,2500.0,alchemy,common
58088,Flask of Titanic Strength,4759999.0,2500.0,alchemy,common
207041,Potion of Withering Dreams,,3000.0,alchemy,common
58087,Flask of the Winds,5999800.0,2500.0,alchemy,common
58146,Golemblood Potion,87000.0,2500.0,alchemy,common
929,Healing Potion,3099.0,75.0,alchemy,common
2459,Swiftness Potion,64500.0,25.0,alchemy,common
58489,Potion of Illusion,509000.0,2500.0,alchemy,common
191359,Phial of Elemental Chaos,,4000.0,alchemy,common
191401,Potion of Shocking Disclosure,,3000.0,alchemy,common
58487,Potion of Deepholm,750000.0,5000.0,alchemy,common
168651,Greater Flask of the Currents,8430000.0,2500.0,alchemy,common
57192,Mythical Mana Potion,5736.0,6000.0,alchemy,common
7068,Elemental Fire,1400.0,400.0,alchemy,common
9030,Restorative Potion,2500.0,200.0,alchemy,common
212265,Tempered Potion,,1000.0,alchemy,common
58142,Deathblood Venom,118499.0,200.0,alchemy,common
191339,Phial of Tepid Versatility,,4000.0,alchemy,common
191387,Elemental Potion of Power,,3000.0,alchemy,common
212283,Flask of Alchemical Chaos,,1000.0,alchemy,common
40195,Pygmy Oil,76992.0,250.0,alchemy,common
211880,Algari Healing Potion,,1000.0,alchemy,common
191381,Elemental Potion of Ultimate Power,,4000.0,alchemy,common
191386,Aerated Mana Potion,,1000.0,alchemy,common
22832,Super Mana Potion,4934.0,5000.0,alchemy,common
191506,Exultant Incense,,1000.0,alchemy,common
9172,Invisibility Potion,1707556.0,500.0,alchemy,common
3829,Frost Oil,4289998.0,150.0,alchemy,common
3824,Shadow Oil,750000.0,150.0,alchemy,common
9061,Goblin Rocket Fuel,3449999.0,250.0,alchemy,common
212271,Flask of Tempered Aggression,,1000.0,alchemy,common
127848,Flask of the Seventh Demon,4840000.0,2500.0,alchemy,common
76097,Master Healing Potion,8400.0,6000.0,alchemy,common
212274,Flask of Tempered Swiftness,,1000.0,alchemy,common
204370,Stinky Bright Potion,,1000.0,alchemy,common
212310,Phial of Truesight,,1000.0,alchemy,common
6371,Fire Oil,248996.0,12.0,alchemy,common
191389,Elemental Potion of Power,,3000.0,alchemy,common
191393,Potion of the Hushed Zephyr,,3000.0,alchemy,common
57191,Mythical Healing Potion,5000.0,6000.0,alchemy,common
3391,Elixir of Ogre's Strength,1698705.0,40.0,alchemy,common
191363,Potion of Frozen Focus,,3000.0,alchemy,common
58085,Flask of Steelskin,1140000.0,2500.0,alchemy,common
191380,Refreshing Healing Potion,,1000.0,alchemy,common
191338,Phial of Static Empowerment,,4000.0,alchemy,common
191399,Potion of Shocking Disclosure,,3000.0,alchemy,common
44958,Ethereal Oil,2999998.0,10.0,alchemy,common
6370,Blackmouth Oil,100200.0,10.0,alchemy,common
13511,Flask of Distilled Wisdom,150000.0,1250.0,alchemy,common
6372,Swim Speed Potion,400000.0,35.0,alchemy,common
212259,Potion of Unwavering Focus,,1000.0,alchemy,common
3823,Lesser Invisibility Potion,74000.0,100.0,alchemy,common
212280,Flask of Tempered Mastery,,1000.0,alchemy,common
191320,Phial of the Eye in the Storm,,4000.0,alchemy,common
171276,Spectral Flask of Power,,2500.0,alchemy,common
1710,Greater Healing Potion,6666.0,125.0,alchemy,common
152639,Flask of Endless Fathoms,16435000.0,2500.0,alchemy,common
76093,Potion of the Jade Serpent,9900.0,5000.0,alchemy,common
40211,Potion of Speed,100992.0,5000.0,alchemy,common
13446,Major Healing Potion,2053.0,1000.0,alchemy,common
13423,Stonescale Oil,358996.0,125.0,alchemy,common
191396,Potion of Gusts,,3000.0,alchemy,common
168652,Greater Flask of Endless Fathoms,8419999.0,2500.0,alchemy,common
22829,Super Healing Potion,5000.0,5000.0,alchemy,common
3827,Mana Potion,28557.0,120.0,alchemy,common
171285,Shadowcore Oil,,2500.0,alchemy,common
207039,Potion of Withering Dreams,,3000.0,alchemy,common
152550,Sea Mist Potion,50000.0,2500.0,alchemy,common
212241,Algari Mana Potion,,1000.0,alchemy,common
191395,Potion of the Hushed Zephyr,,3000.0,alchemy,common
127839,Avalanche Elixir,124500.0,2500.0,alchemy,common
118711,Draenic Water Walking Elixir,435000.0,125.0,alchemy,common
57194,Potion of Concentration,110000.0,5000.0,alchemy,common
20008,Living Action Potion,50000.0,600.0,alchemy,common
118,Minor Healing Potion,10000.0,5.0,alchemy,common
127834,Ancient Healing Potion,86666.0,1200.0,alchemy,common
127838,Sylvan Elixir,248898.0,2500.0,alchemy,common
136653,Silvery Salve,59615.0,250.0,alchemy,common
9154,Elixir of Detect Undead,2941.0,300.0,alchemy,common
184090,Potion of the Psychopomp's Speed,,2500.0,alchemy,common
168654,Greater Flask of the Undertow,9019999.0,2500.0,alchemy,common
76089,Virmen's Bite,1507500.0,2500.0,alchemy,common
57193,Mighty Rejuvenation Potion,120000.0,5000.0,alchemy,common
28102,Onslaught Elixir,10000.0,2500.0,alchemy,common
191335,Phial of Glacial Fury,,4000.0,alchemy,common
191365,Potion of Frozen Focus,,3000.0,alchemy,common
13457,Greater Fire Protection Potion,1000628.0,750.0,alchemy,common
171267,Spiritual Healing Potion,,2500.0,alchemy,common
13443,Superior Mana Potion,5000.0,400.0,alchemy,common
858,Lesser Healing Potion,247.0,25.0,alchemy,common
191501,Sagacious Incense,,1000.0,alchemy,common
191357,Phial of Elemental Chaos,,4000.0,alchemy,common
127843,Potion of Deadly Grace,1746676.0,2500.0,alchemy,common
127847,Flask of the Whispered Pact,5150000.0,2500.0,alchemy,common
171286,Embalmer's Oil,,2500.0,alchemy,common
212277,Flask of Tempered Versatility,,1000.0,alchemy,common
152497,Lightfoot Potion,482998.0,2500.0,alchemy,common
