item,zone
67144,4950
67149,4950
67138,4950
67137,4950
67134,4950
67147,4950
67145,4950
67148,4950
67143,4950
67130,4950
67133,4950
67129,4950
67139,4950
55709,4950
67140,4950
67141,4950
66972,4950
67124,4950
67132,4950
66940,4950
67150,4950
55413,4950
55674,4950
67071,4950
66971,4950
55501,4950
55458,4950
55628,4950
66993,4950
67122,4950
67119,4950
67135,4950
66973,4950
55285,4950
55359,4950
55306,4950
55585,4950
55367,4950
55756,4950
66992,4950
67142,4950
55648,4950
55610,4950
66968,4950
67123,4950
55350,4950
66969,4950
55486,4950
67115,4950
55603,4950
55376,4950
66931,4950
66991,4950
55591,4950
66964,4950
55305,4950
55315,4950
55655,4950
66976,4950
55387,4950
55378,4950
55738,4950
55492,4950
55540,4950
55531,4950
55331,4950
67120,4950
66989,4950
55692,4950
55772,4950
55288,4950
55556,4950
55432,4950
55675,4950
55295,4950
55681,4950
55296,4950
55449,4950
55287,4950
55619,4950
56219,4950
67069,4950
56220,4950
66994,4950
55396,4950
55440,4950
55411,4950
55314,4950
55431,4950
55422,4950
55717,4950
55645,4950
55764,4950
55567,4950
55404,4950
55360,4950
55682,4950
55618,4950
55584,4950
55763,4950
55456,4950
55412,4950
55294,4950
55537,4950
55621,4950
55557,4950
55592,4950
55774,4950
55423,4950
55414,4950
55656,4950
55459,4950
55349,4950
55666,4950
55324,4950
66932,4950
55357,4950
55575,4950
55711,4950
55351,4950
55502,4950
55358,4950
55377,4950
55484,4950
55755,4950
55528,4950
55303,4950
55504,4950
55485,4950
55495,4950
55574,4950
55375,4950
55465,4950
66941,4950
66990,4950
56218,4950
55340,4950
55629,4950
55322,4950
55339,4950
67052,4950
67051,4950
55630,4950
55521,4950
55512,4950
55513,4950
55583,4950
55348,4950
55564,4950
55573,4950
55312,4950
66986,4950
67057,4950
66975,4950
55468,4950
55548,4950
55438,4950
55719,4950
55395,4950
55710,4950
66942,4950
55673,4950
55467,4950
55483,4950
55547,4950
55522,4950
55538,4950
55646,4950
55286,4950
55323,4950
55762,4950
67125,4950
67067,4950
67127,4950
55753,4950
66966,4950
55718,4950
55420,4950
66920,4950
55430,4950
66974,4950
67126,4950
67121,4950
55366,4950
55304,4950
55654,4950
55708,4950
55342,4950
55593,4950
55313,4950
55510,4950
66970,4950
67061,4950
55565,4950
55402,4950
55457,4950
55441,4950
55745,4950
55636,4950
55582,4950
55394,4950
55765,4950
55429,4950
55612,4950
55333,4950
55558,4950
55439,4950
55638,4950
55297,4950
55720,4950
55520,4950
55639,4950
55663,4950
55702,4950
55726,4950
55754,4950
55601,4950
55736,4950
55727,4950
55665,4950
55637,4950
55737,4950
55700,4950
55728,4950
55369,4950
55647,4950
55657,4950
55747,4950
55771,4950
55683,4950
55664,4950
55566,4950
55690,4950
55549,4950
55405,4950
55729,4950
55386,4950
55555,4950
55546,4950
55341,4950
55693,4950
55735,4950
55384,4950
55332,4950
55403,4950
66919,4950
55368,4950
55494,4950
55450,4950
55701,4950
55672,4950
55330,4950
55511,4950
55620,4950
55744,4950
55773,4950
55493,4950
55611,4950
55699,4950
55385,4950
55529,4950
55539,4950
55691,4950
55466,4950
55530,4950
55594,4950
55421,4950
55600,4950
55576,4950
55684,4950
55609,4950
55503,4950
55448,4950
55602,4950
55627,4950
55746,4950
55447,4950
55393,4950
55519,4950
184806,13334
184805,13334
175544,13334
175571,13334
175561,13334
175559,13334
175551,13334
175560,13334
175543,13334
175558,13334
175545,13334
175567,13334
175564,13334
184783,13334
175557,13334
175574,13334
175554,13334
175547,13334
175566,13334
175556,13334
175562,13334
175552,13334
175565,13334
175555,13334
175546,13334
175568,13334
175572,13334
175553,13334
175548,13334
175549,13334
175563,13334
175570,13334
175569,13334
175573,13334
184806,12916
184798,12916
176795,12916
176773,12916
176779,12916
176767,12916
176774,12916
176788,12916
176762,12916
176796,12916
176786,12916
182558,12916
176775,12916
176785,12916
176781,12916
176800,12916
182557,12916
176764,12916
176782,12916
182560,12916
182556,12916
176792,12916
176772,12916
176802,12916
176769,12916
176766,12916
176787,12916
176763,12916
176776,12916
176797,12916
176761,12916
176803,12916
176789,12916
176768,12916
176798,12916
176765,12916
176799,12916
176770,12916
176780,12916
176777,12916
176790,12916
176778,12916
176791,12916
176783,12916
176794,12916
176771,12916
176784,12916
176801,12916
176793,12916
159490,8064
163969,8064
163965,8064
159508,8064
160133,8064
159608,8064
160119,8064
159812,8064
160123,8064
163937,8064
159599,8064
159505,8064
159506,8064
159573,8064
159507,8064
159813,8064
159601,8064
159807,8064
159517,8064
159546,8064
159577,8064
160121,8064
160143,8064
159558,8064
163963,8064
159479,8064
160125,8064
159478,8064
159543,8064
159548,8064
